avg_loser_size_usd,avg_txs_per_position,avg_winner_size_usd,best_position_pnl_usd,biggest_position_usd,conviction_ratio,dune_label,first_buy,last_action,majors_pnl_usd,median_hold_days,n_positions,n_positions_external_inflow,n_profitable_positions,pct_flipped_same_day,pnl_excluding_best_usd,positions_never_sold,roi,still_held_value_usd,total_invested_usd,wallet,win_rate,net_pnl_all_usd,roi_all,n_positions_all,n_losers,gross_losses_usd,worst_position_usd,n_total_wipeouts,wipeout_loss_usd,n_txs_all,biggest_position_all_usd,clean_pnl_usd,clean_invested_usd,inflow_pnl_usd,n_clean_positions,n_sold_without_buying,sold_without_buying_usd,best_clean_position_usd,clean_pnl_excluding_best_usd,recent_pnl_180d_usd,recent_positions_180d,size_variation,active_hours_of_day,best_position_share,verdict
13904,8.00000000000000000,49496,43477,124827,3.56,,2024-03-20 20:44:51.000 UTC,2025-07-27 16:01:58.000 UTC,93174,11,4,3,3,0.25000000000000000,49697,0,0.36,0,261042,GcrgNMWLy2t3FGGCDwJpPuxESTzmXaPhfMYqntAf6Rrp,0.75000000000000000,108477,0.31,10,4,-17335,-7064,0,0,80,124827,39426,226131,69051,7,1,4795,35148,4279,0,0,1.06,10,0.89,pass
2079,3.10000000000000000,5141,43532,61162,2.47,,2024-11-11 13:20:53.000 UTC,2025-02-17 10:42:59.000 UTC,59363,10,5,1,3,0.00000000000000000,15831,0,0.62,0,95500,5dNnyUdLXT8vJXhcoeeJWxDBi8jv5P6s88mCDKrEmB5K,0.60000000000000000,38431,0.1,141,107,-100536,-12349,39,34737,431,61162,38830,396814,-399,140,0,0,50362,-11532,0,0,2.8,9,1.3,pass
15668,2.60000000000000000,33657,59091,63531,2.15,,2024-03-06 02:45:36.000 UTC,2024-12-31 10:05:42.000 UTC,112118,8,3,0,3,0.33000000000000000,53027,0,1.11,0,100971,4h1KGf215drk9fGUzrYEErzikG3Rc5C6ReCi7ddCgmRQ,1.00000000000000000,38495,0.18,10,7,-73623,-31534,1,22290,26,63531,38495,210648,0,10,1,1771,59091,-20596,0,0,0.95,5,1.54,pass
4268,8.00000000000000000,2450,20461,34875,0.57,,2024-01-01 19:04:20.000 UTC,2024-07-18 22:05:02.000 UTC,33989,9,3,15,3,0.33000000000000000,13528,0,0.58,0,58988,HRBwRZU3m1iVtSGPRJWsaC8HWFW5xGfEaP6QggN6w7FN,1.00000000000000000,54929,0.13,120,72,-174986,-79168,23,40326,958,149253,38408,384343,16522,105,0,0,101636,-63229,0,0,3.98,14,2.65,REJECT: size went into losers
8443,4.30000000000000000,19934,59293,94680,2.36,,2024-03-20 12:58:20.000 UTC,2025-12-30 20:54:29.000 UTC,127411,43,8,9,5,0.13000000000000000,68117,0,0.45,0,283190,2YBcVTQcJ2MNHUsKtdxnzsduipEMUCCh3QXpvJbnutZk,0.63000000000000000,123765,0.33,28,16,-35911,-8662,1,1499,119,94680,37800,213174,85965,19,2,4228,52615,-14814,0,0,1.57,12,1.39,pass
7993,5.10000000000000000,21400,148933,86200,2.68,,2024-11-28 10:24:20.000 UTC,2026-06-28 10:15:04.000 UTC,234678,24,5,6,3,0.20000000000000000,85744,0,1.42,0,165414,AXvN4JPnHKRGdE8GAZkycMiJVLxSuV63Pwdyx7bQKdwJ,0.60000000000000000,355913,1.17,23,14,-69647,-23090,5,46515,118,86200,37484,165458,318429,17,5,100754,60835,-23351,13144,4,1.39,14,1.62,REJECT: sells tokens it never bought
11815,6.30000000000000000,11593,166014,73917,0.98,,2024-07-19 19:39:58.000 UTC,2025-05-16 16:16:09.000 UTC,280730,6,9,11,6,0.00000000000000000,114716,0,1.07,0,262918,HG4LYJuFA7opv9a5VAKB7rPghTP8qozsGde75auk94WE,0.67000000000000000,211847,0.3,60,37,-244612,-62024,7,28020,376,73917,37398,568414,174449,49,0,0,166014,-128616,0,0,1.07,11,4.44,REJECT: size went into losers
2029,3.30000000000000000,3119,35465,27405,1.54,,2024-02-15 00:38:19.000 UTC,2025-07-04 13:39:18.000 UTC,81563,16,5,8,5,0.00000000000000000,46098,0,1.41,0,58005,55AHZ4gZe5G1Gv6fzr1qmigKeR8tni79LccZQMMPxHdj,1.00000000000000000,32199,0.06,222,166,-207328,-30195,51,62386,743,53748,36255,434430,-4057,214,4,29910,35465,791,480,1,1.91,11,0.98,REJECT: sells tokens it never bought
4007,2.90000000000000000,10887,58626,53795,2.72,,2024-01-14 00:24:02.000 UTC,2026-07-05 00:41:55.000 UTC,130957,7,10,4,5,0.30000000000000000,72330,0,0.46,5415,285403,28vpUjXLZqkF6MT8SqQw4VTbQifGssKBvTzHkjdmHuXc,0.50000000000000000,79031,0.17,88,72,-164209,-15934,43,84726,251,53795,36060,413134,42971,84,4,9565,58626,-22566,-111,1,2.06,9,1.63,REJECT: sells tokens it never bought
15826,4.50000000000000000,13526,262549,113579,0.85,,2024-02-10 01:47:14.000 UTC,2026-06-12 04:42:27.000 UTC,276509,5,13,4,4,0.31000000000000000,13959,0,0.72,471,383862,5aNDFXJJ38oBQ2qgS3X1jhYZUDGDY9ygwkqYkeBSRhjj,0.31000000000000000,120575,0.16,49,36,-238566,-50420,6,37330,221,113579,35886,731793,84689,45,2,12296,262549,-226664,0,1,1.44,10,7.32,REJECT: sells tokens it never bought
